step,split,matmul,mae,rmse,max_abs
0,train,model.layers.0.self_attn.q_proj,0.009510183706879616,0.017182519659399986,0.18505096435546875
0,train,model.layers.0.self_attn.k_proj,0.02633539028465748,0.05572926998138428,0.4443817138671875
0,train,model.layers.0.self_attn.v_proj,0.0005997081170789897,0.0007900064811110497,0.0033607110381126404
0,train,model.layers.0.self_attn.o_proj,0.0004372730036266148,0.0007554772892035544,0.03156992793083191
0,train,model.layers.0.mlp.gate_proj,0.016880691051483154,0.02397569641470909,0.31329214572906494
0,train,model.layers.0.mlp.up_proj,0.009252376854419708,0.012290575541555882,0.10708948969841003
0,train,model.layers.0.mlp.down_proj,0.004956959746778011,0.006856507621705532,0.09364032745361328
0,train,model.layers.1.self_attn.q_proj,0.02339421957731247,0.03354739770293236,0.3139503002166748
0,train,model.layers.1.self_attn.k_proj,0.038503773510456085,0.062057700008153915,0.4895782470703125
0,train,model.layers.1.self_attn.v_proj,0.007778077851980925,0.01021219976246357,0.04190579056739807
0,train,model.layers.1.self_attn.o_proj,0.0030334810726344585,0.004114564508199692,0.043695271015167236
0,train,model.layers.1.mlp.gate_proj,0.022891994565725327,0.030418723821640015,0.3305545449256897
0,train,model.layers.1.mlp.up_proj,0.015241836197674274,0.019781125709414482,0.16561001539230347
0,train,model.layers.1.mlp.down_proj,0.006940778344869614,0.009218977764248848,0.08255910873413086
0,train,model.layers.2.self_attn.q_proj,0.0252744909375906,0.03477414324879646,0.21307384967803955
0,train,model.layers.2.self_attn.k_proj,0.03808829188346863,0.049725718796253204,0.19745635986328125
0,train,model.layers.2.self_attn.v_proj,0.010449173860251904,0.013604707084596157,0.0680282711982727
0,train,model.layers.2.self_attn.o_proj,0.003075474174693227,0.004086275119334459,0.03401297330856323
0,train,model.layers.2.mlp.gate_proj,0.029501980170607567,0.0383794866502285,0.6972637176513672
0,train,model.layers.2.mlp.up_proj,0.020639654248952866,0.027041349560022354,0.9595816135406494
0,train,model.layers.2.mlp.down_proj,0.013889102265238762,0.08381924033164978,6.84503173828125
0,train,model.layers.3.self_attn.q_proj,0.028649479150772095,0.04229047894477844,0.2966766357421875
0,train,model.layers.3.self_attn.k_proj,0.03900652378797531,0.05641340836882591,0.2529270648956299
0,train,model.layers.3.self_attn.v_proj,0.018812138587236404,0.02589435689151287,0.12222594022750854
0,train,model.layers.3.self_attn.o_proj,0.0022933732252568007,0.0035688532516360283,0.027612358331680298
0,train,model.layers.3.mlp.gate_proj,0.03276326134800911,0.043725304305553436,0.26451075077056885
0,train,model.layers.3.mlp.up_proj,0.02459574118256569,0.033273838460445404,0.19351541996002197
0,train,model.layers.3.mlp.down_proj,0.01624012552201748,0.10688566416501999,8.752197265625
0,train,model.layers.4.self_attn.q_proj,0.032936036586761475,0.04723244532942772,0.31156039237976074
0,train,model.layers.4.self_attn.k_proj,0.04173950105905533,0.05884971469640732,0.25493836402893066
0,train,model.layers.4.self_attn.v_proj,0.03226729482412338,0.044752225279808044,0.17500001192092896
0,train,model.layers.4.self_attn.o_proj,0.0038790858816355467,0.005956215318292379,0.054491959512233734
0,train,model.layers.4.mlp.gate_proj,0.040314603596925735,0.05688964203000069,0.6630001068115234
0,train,model.layers.4.mlp.up_proj,0.03094947338104248,0.042939092963933945,0.22954502701759338
0,train,model.layers.4.mlp.down_proj,0.016810456290841103,0.024710841476917267,0.1551225781440735
0,train,model.layers.5.self_attn.q_proj,0.03724740445613861,0.055175695568323135,0.45256924629211426
0,train,model.layers.5.self_attn.k_proj,0.04608164727687836,0.066278375685215,0.3805394172668457
0,train,model.layers.5.self_attn.v_proj,0.03509718179702759,0.05010558292269707,0.29375624656677246
0,train,model.layers.5.self_attn.o_proj,0.0037571084685623646,0.005477960221469402,0.05006289482116699
0,train,model.layers.5.mlp.gate_proj,0.05582638084888458,0.07968735694885254,0.6664950847625732
0,train,model.layers.5.mlp.up_proj,0.0370231457054615,0.052652157843112946,0.31392329931259155
0,train,model.layers.5.mlp.down_proj,0.019373323768377304,0.028099002316594124,0.15948589146137238
0,train,model.layers.6.self_attn.q_proj,0.04083312675356865,0.06412922590970993,0.6148712635040283
0,train,model.layers.6.self_attn.k_proj,0.054009970277547836,0.08067123591899872,0.4513401985168457
0,train,model.layers.6.self_attn.v_proj,0.033093422651290894,0.04876391589641571,0.3041611313819885
0,train,model.layers.6.self_attn.o_proj,0.00412389263510704,0.0059338645078241825,0.10323616862297058
0,train,model.layers.6.mlp.gate_proj,0.04683961346745491,0.06844791769981384,0.47778213024139404
0,train,model.layers.6.mlp.up_proj,0.039730507880449295,0.05774274840950966,0.36399489641189575
0,train,model.layers.6.mlp.down_proj,0.022892089560627937,0.034825608134269714,0.2098340392112732
0,train,model.layers.7.self_attn.q_proj,0.04623812809586525,0.07058173418045044,0.5818805694580078
0,train,model.layers.7.self_attn.k_proj,0.0588119700551033,0.08793559670448303,0.40791255235671997
0,train,model.layers.7.self_attn.v_proj,0.039485517889261246,0.05937312915921211,0.2871145009994507
0,train,model.layers.7.self_attn.o_proj,0.004458879120647907,0.00690938625484705,0.14356690645217896
0,train,model.layers.7.mlp.gate_proj,0.048954520374536514,0.07355941832065582,0.585830807685852
0,train,model.layers.7.mlp.up_proj,0.04412662237882614,0.06686946749687195,0.6833131313323975
0,train,model.layers.7.mlp.down_proj,0.027279075235128403,0.043646059930324554,0.3280637860298157
0,train,model.layers.8.self_attn.q_proj,0.054607730358839035,0.13003531098365784,4.109107971191406
0,train,model.layers.8.self_attn.k_proj,0.07268916070461273,0.115013487637043,0.7085809707641602
0,train,model.layers.8.self_attn.v_proj,0.04535622149705887,0.07257834821939468,0.4136481285095215
0,train,model.layers.8.self_attn.o_proj,0.004595152568072081,0.007520824205130339,0.09857380390167236
0,train,model.layers.8.mlp.gate_proj,0.05212118849158287,0.0819464772939682,0.8342811465263367
0,train,model.layers.8.mlp.up_proj,0.04660855978727341,0.07279565185308456,0.5367830395698547
0,train,model.layers.8.mlp.down_proj,0.028117278590798378,0.04760777950286865,0.3505581021308899
0,train,model.layers.9.self_attn.q_proj,0.06392993777990341,0.10690576583147049,0.9794683456420898
0,train,model.layers.9.self_attn.k_proj,0.08650751411914825,0.14892418682575226,1.232525110244751
0,train,model.layers.9.self_attn.v_proj,0.05822505056858063,0.09166429936885834,0.45700377225875854
0,train,model.layers.9.self_attn.o_proj,0.00280414754524827,0.004324492998421192,0.05441629886627197
0,train,model.layers.9.mlp.gate_proj,0.05645143985748291,0.09090956300497055,0.9042277336120605
0,train,model.layers.9.mlp.up_proj,0.051909130066633224,0.0829472541809082,0.6690365076065063
0,train,model.layers.9.mlp.down_proj,0.027678510174155235,0.04816293716430664,0.7424411773681641
0,train,model.layers.10.self_attn.q_proj,0.058234695345163345,0.09954467415809631,1.2338920831680298
0,train,model.layers.10.self_attn.k_proj,0.07327483594417572,0.1224009245634079,0.7789607048034668
0,train,model.layers.10.self_attn.v_proj,0.0734417736530304,0.11832854151725769,0.6689471006393433
0,train,model.layers.10.self_attn.o_proj,0.004751971457153559,0.0072241285815835,0.10740375518798828
0,train,model.layers.10.mlp.gate_proj,0.05922958627343178,0.09775002300739288,1.1457009315490723
0,train,model.layers.10.mlp.up_proj,0.05218685418367386,0.08394765853881836,0.8609189391136169
0,train,model.layers.10.mlp.down_proj,0.02688702568411827,0.04640590026974678,0.632764458656311
0,train,model.layers.11.self_attn.q_proj,0.07658429443836212,0.13739050924777985,1.3941900730133057
0,train,model.layers.11.self_attn.k_proj,0.09911791235208511,0.18140406906604767,1.4697177410125732
0,train,model.layers.11.self_attn.v_proj,0.06284992396831512,0.1013559103012085,0.4784296452999115
0,train,model.layers.11.self_attn.o_proj,0.0030820206739008427,0.005482291802763939,0.07162044942378998
0,train,model.layers.11.mlp.gate_proj,0.0571049265563488,0.09304311871528625,0.8312658667564392
0,train,model.layers.11.mlp.up_proj,0.056072261184453964,0.09085935354232788,0.8924618363380432
0,train,model.layers.11.mlp.down_proj,0.026721946895122528,0.04409091919660568,0.3735195994377136
0,train,model.layers.12.self_attn.q_proj,0.0737404152750969,0.12876342236995697,1.3845888376235962
0,train,model.layers.12.self_attn.k_proj,0.0738678127527237,0.12507085502147675,0.8385151624679565
0,train,model.layers.12.self_attn.v_proj,0.08122231066226959,0.13076083362102509,0.6420217752456665
0,train,model.layers.12.self_attn.o_proj,0.005052977707237005,0.007194153498858213,0.06490302085876465
0,train,model.layers.12.mlp.gate_proj,0.05708222836256027,0.09526099264621735,1.3308262825012207
0,train,model.layers.12.mlp.up_proj,0.05602452531456947,0.09122956544160843,0.8811662197113037
0,train,model.layers.12.mlp.down_proj,0.02871905267238617,0.0493895597755909,0.44358813762664795
