step,split,matmul,mae,rmse,max_abs
0,train,model.layers.0.self_attn.q_proj,0.008927373914048076,0.01625502621755004,0.23969268798828125
0,train,model.layers.0.self_attn.k_proj,0.024722203612327576,0.05191065929830074,0.4443817138671875
0,train,model.layers.0.self_attn.v_proj,0.0006007076299283653,0.0007940090436022729,0.005243659019470215
0,train,model.layers.0.self_attn.o_proj,0.0004989395165466703,0.0008065122383413836,0.03156992793083191
0,train,model.layers.0.mlp.gate_proj,0.01653902092948556,0.023509704507887363,0.47849178314208984
0,train,model.layers.0.mlp.up_proj,0.009345087921246886,0.01231032912619412,0.21903270483016968
0,train,model.layers.0.mlp.down_proj,0.0045960140414536,0.006197500159032643,0.10448360443115234
0,train,model.layers.1.self_attn.q_proj,0.02496101474389434,0.035297163762152195,0.3943507671356201
0,train,model.layers.1.self_attn.k_proj,0.040486483834683895,0.060994273982942104,0.527099609375
0,train,model.layers.1.self_attn.v_proj,0.007558636483736336,0.009698992595076561,0.05053184926509857
0,train,model.layers.1.self_attn.o_proj,0.002770536986645311,0.003719932457897812,0.043695271015167236
0,train,model.layers.1.mlp.gate_proj,0.022692879661917686,0.02978426869958639,0.45949745178222656
0,train,model.layers.1.mlp.up_proj,0.015301245264708996,0.019553844816982746,0.16561001539230347
0,train,model.layers.1.mlp.down_proj,0.006886481656692922,0.008941893000155687,0.08465957641601562
0,train,model.layers.2.self_attn.q_proj,0.024853311479091644,0.03400410804897547,0.2507190704345703
0,train,model.layers.2.self_attn.k_proj,0.037262097001075745,0.049471260979771614,0.251739501953125
0,train,model.layers.2.self_attn.v_proj,0.010154172079637647,0.013064536731690168,0.0680282711982727
0,train,model.layers.2.self_attn.o_proj,0.0030180183239281178,0.004090765432920307,0.058292388916015625
0,train,model.layers.2.mlp.gate_proj,0.02816761890426278,0.03620206005871296,0.6971378326416016
0,train,model.layers.2.mlp.up_proj,0.019782887306064367,0.02572079747915268,1.6731491088867188
0,train,model.layers.2.mlp.down_proj,0.011550493305549026,0.06656526075676084,14.1966552734375
0,train,model.layers.3.self_attn.q_proj,0.028186996467411518,0.04039746709167957,0.41799259185791016
0,train,model.layers.3.self_attn.k_proj,0.03919586166739464,0.05421754624694586,0.3198246955871582
0,train,model.layers.3.self_attn.v_proj,0.01939605036750436,0.02550697047263384,0.12232659757137299
0,train,model.layers.3.self_attn.o_proj,0.0024836578231770545,0.003650431171990931,0.03872525691986084
0,train,model.layers.3.mlp.gate_proj,0.03346384270116687,0.0435256976634264,0.27114903926849365
0,train,model.layers.3.mlp.up_proj,0.02516100089997053,0.032818594947457314,0.3390789031982422
0,train,model.layers.3.mlp.down_proj,0.014501974917948246,0.07817258313298225,11.08056640625
0,train,model.layers.4.self_attn.q_proj,0.03377062454819679,0.046638043597340584,0.3488243818283081
0,train,model.layers.4.self_attn.k_proj,0.04160988796502352,0.0561957573518157,0.33658790588378906
0,train,model.layers.4.self_attn.v_proj,0.032545429188758135,0.04341072030365467,0.25139951705932617
0,train,model.layers.4.self_attn.o_proj,0.004369593225419521,0.0063739350298419595,0.09898948669433594
0,train,model.layers.4.mlp.gate_proj,0.04102834779769182,0.05509023927152157,0.6628527641296387
0,train,model.layers.4.mlp.up_proj,0.03132407506927848,0.04126112535595894,0.2957797646522522
0,train,model.layers.4.mlp.down_proj,0.017052093986421824,0.023013378493487835,0.37008094787597656
0,train,model.layers.5.self_attn.q_proj,0.041141850873827934,0.058153482154011726,0.7458105087280273
0,train,model.layers.5.self_attn.k_proj,0.048804630525410175,0.06759877409785986,0.49079370498657227
0,train,model.layers.5.self_attn.v_proj,0.03849921375513077,0.051333499141037464,0.2938934564590454
0,train,model.layers.5.self_attn.o_proj,0.00438797875540331,0.0064230948919430375,0.15234947204589844
0,train,model.layers.5.mlp.gate_proj,0.057103986851871014,0.07769102603197098,0.6653628349304199
0,train,model.layers.5.mlp.up_proj,0.03811901155859232,0.05061292089521885,0.369370698928833
0,train,model.layers.5.mlp.down_proj,0.01964838244020939,0.026731451507657766,0.23942029476165771
0,train,model.layers.6.self_attn.q_proj,0.04133294802159071,0.060037678107619286,0.6972537040710449
0,train,model.layers.6.self_attn.k_proj,0.054226770997047424,0.07570582441985607,0.5157313346862793
